N,p,runtime,profile
16,1,54.527389299997594s,baseline
16,2,105.89577859999554s,baseline
16,5,296.1260135000048s,baseline
16,10,681.327927899998s,baseline
18,1,242.63116770000488s,baseline
18,2,572.9750288000068s,baseline
18,5,1244.6839041000057s,baseline
18,10,2712.5524631000008s,baseline
20,1,1371.3612379999977s,baseline
20,2,2099.907622800005s,baseline
20,5,5171.275365099995s,baseline
20,10,10474.365924099999s,baseline
22,1,4475.972457600001s,baseline



