N,p,runtime,profile
16,1,54.527389299997594,baseline
16,2,105.89577859999554,baseline
16,5,296.1260135000048,baseline
16,10,681.327927899998,baseline
18,1,242.63116770000488,baseline
18,2,572.9750288000068,baseline
18,5,1244.6839041000057,baseline
18,10,2712.5524631000008,baseline
20,1,1371.3612379999977,baseline
20,2,2099.907622800005,baseline
20,5,5171.275365099995,baseline
20,10,10474.365924099999,baseline
22,1,4475.972457600001,baseline



